difficulty,horizon,policy,correction_episode,clean_control,episode,eligible_memory_read_attempts,readable_count,mp,mp_wilson95_low,mp_wilson95_high,behavior_changed_count,bp,bp_wilson95_low,bp_wilson95_high,future_failure_count,ffr,ffr_wilson95_low,ffr_wilson95_high,prewrite_trigger_rate,corrupt_prewrite_block_rate,clean_false_positive_rate,utility_loss_false_blocking
E0,10,none,,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,3,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,4,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,5,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,6,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,7,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,8,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,9,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,False,10,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,none,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,10,none,,True,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
